make,model,year,price_usd,body_style,horsepower,torque_lb_ft,drivetrain,transmission,engine_type,fuel_economy_mpg,seating_capacity,cargo_volume_cuft,range_miles,towing_capacity_lbs,safety_rating,best_for,segment,popularity_score
Chevrolet,Equinox EV,2024,34995,SUV,290,333,FWD,automatic,electric,121,5,29.9,319,1000,5,commuters,mid-range,0.76
Hyundai,IONIQ 6,2024,38615,sedan,320,446,AWD,automatic,electric,140,5,11.1,361,0,5,commuters,mid-range,0.74
Kia,EV6,2024,42600,hatchback,320,446,AWD,automatic,electric,117,5,24.4,310,2300,5,commuters,mid-range,0.77
BMW,iX,2024,87100,SUV,610,811,AWD,automatic,electric,86,5,35.5,324,5500,5,luxury,ultra-luxury,0.71
Porsche,911 Carrera,2024,116900,coupe,379,331,RWD,automatic,ICE,19,4,4.9,,0,5,performance,ultra-luxury,0.82
Ferrari,Roma,2024,222000,coupe,612,560,RWD,automatic,ICE,15,4,7.0,,0,4,performance,ultra-luxury,0.65
Lamborghini,Urus,2024,230000,SUV,657,627,AWD,automatic,ICE,14,5,21.8,,7716,4,luxury,ultra-luxury,0.62
Rolls-Royce,Ghost,2024,340000,sedan,563,627,AWD,automatic,ICE,15,5,16.0,,0,4,luxury,ultra-luxury,0.5
Tesla,Model S Plaid,2024,89990,sedan,1020,1050,AWD,automatic,electric,109,5,28.0,396,0,5,performance,ultra-luxury,0.79
Toyota,Sienna,2024,38170,minivan,245,176,AWD,automatic,hybrid,36,8,101.0,,3500,5,families,mid-range,0.83
Chrysler,Pacifica,2024,38990,minivan,287,262,FWD,automatic,hybrid,82,7,140.5,,3600,5,families,mid-range,0.78
Chevrolet,Tahoe,2024,57800,SUV,355,383,4WD,automatic,ICE,17,9,122.9,,8400,5,families,luxury,0.85
Ford,Expedition,2024,58000,SUV,400,480,4WD,automatic,ICE,18,8,104.6,,9300,5,families,luxury,0.82
